nombre,genero,calificasion,opiniones,precios,paguina web
Nike,femenino,5.0,82.0,5731.0,AMAZON
Nike,femenino,4.0,16.0,5609.0,AMAZON
Nike,femenino,4.4,342.0,4786.0,AMAZON
Nike,femenino,3.7,37.0,4455.0,AMAZON
Nike,masculino,4.4,1.0,4448.0,AMAZON
Nike,femenino,4.5,13.0,4345.0,AMAZON
OSSTONE,femenino,4.3,2.0,4186.0,AMAZON
Nike,masculino,1.0,51.0,4113.0,AMAZON
Nike,femenino,4.2,94.0,4042.0,AMAZON
OSSTONE,femenino,4.4,72.0,3967.0,AMAZON
CBYXDY,femenino,5.0,996.0,3923.0,AMAZON
Nike,femenino,4.5,5.0,3923.0,AMAZON
Nike,femenino,5.0,22.0,3901.0,AMAZON
Nike,femenino,4.5,25.0,3852.0,AMAZON
Nike,masculino,4.5,8.0,3742.0,AMAZON
Nike,masculino,4.8,443.0,3729.0,AMAZON
Nike,femenino,4.3,1.0,3659.0,AMAZON
Nike,femenino,4.4,1.0,3649.0,AMAZON
Nike,femenino,4.6,312.0,3632.0,AMAZON
Nike,masculino,4.4,120.0,3632.0,AMAZON
Nike,masculino,5.0,231.0,3571.0,AMAZON
Nike,masculino,4.7,1.0,3526.0,AMAZON
Nike,masculino,3.6,3.0,3522.0,AMAZON
Nike,femenino,3.8,98.0,3268.0,AMAZON
Nike,femenino,4.6,267.0,3268.0,AMAZON
Nike,femenino,4.5,544.0,3245.0,AMAZON
Nike,femenino,4.4,15.0,3243.0,AMAZON
Nike,femenino,4.2,12.0,3189.0,AMAZON
Nike,masculino,4.6,309.0,3168.0,AMAZON
Nike,masculino,4.7,393.0,3165.0,AMAZON
Nike,masculino,4.5,18.0,3147.0,AMAZON
Nike,femenino,4.4,199.0,3094.0,AMAZON
Nike,femenino,4.3,9.0,3060.0,AMAZON
Nike,femenino,4.5,10.0,3052.0,AMAZON
Nike,masculino,5.0,47.0,3037.0,AMAZON
Nike,femenino,4.5,322.0,2979.0,AMAZON
Nike,masculino,4.4,169.0,2979.0,AMAZON
Nike,femenino,4.0,63.0,2975.0,AMAZON
Nike,masculino,4.3,1.0,2974.0,AMAZON
CBYXDY,femenino,4.6,1.0,2973.0,AMAZON
Nike,masculino,1.0,18.0,2952.0,AMAZON
Nike,femenino,4.5,757.0,2919.0,AMAZON
Nike,masculino,4.0,5.0,2917.0,AMAZON
Nike,femenino,4.6,2.0,2917.0,AMAZON
Jordan,masculino,4.7,87.0,2915.0,AMAZON
Nike,femenino,5.0,148.0,2877.0,AMAZON
Nike,masculino,4.6,746.0,2875.0,AMAZON
OSSTONE,masculino,4.4,27.0,2872.0,AMAZON
Nike,femenino,4.5,234.0,2867.0,AMAZON
Nike,femenino,4.6,489.0,2863.0,AMAZON
Nike,masculino,4.2,700.0,2851.0,AMAZON
Nike,femenino,4.4,20.0,2851.0,AMAZON
Nike,femenino,4.5,72.0,2846.0,AMAZON
Nike,femenino,5.0,7.0,2842.0,AMAZON
Nike,femenino,4.5,28.0,2841.0,AMAZON
Nike,femenino,4.3,52.0,2841.0,AMAZON
Nike,femenino,4.5,80.0,2805.0,AMAZON
Nike,femenino,5.0,179.0,2789.0,AMAZON
Nike,masculino,4.6,757.0,2783.0,AMAZON
Nike,masculino,4.8,149.0,2768.0,AMAZON
Nike,femenino,5.0,4.0,2760.0,AMAZON
Nike,masculino,4.1,4.0,2760.0,AMAZON
Nike,masculino,4.5,241.0,2758.0,AMAZON
Nike,femenino,4.6,968.0,2757.0,AMAZON
Nike,masculino,3.4,81.0,2730.0,AMAZON
Nike,masculino,4.3,5.0,2712.0,AMAZON
QUIERO TENNIS,masculino,4.6,8.0,2697.0,AMAZON
Nike,masculino,3.0,2.0,2676.0,AMAZON
Nike,masculino,5.0,283.0,2674.0,AMAZON
Nike,femenino,4.5,27.0,2671.0,AMAZON
